slot,t,kind,reason,ref,attempt,seq,n_elig_ev,n_elig_st,lost,delay_ms,ack_type,ack_lost
297,2970,NONE,IDLE,0,0,0,0,0,0,0,,0
298,2980,NONE,IDLE,0,0,0,0,0,0,0,,0
299,2990,NONE,IDLE,0,0,0,0,0,0,0,,0
300,3000,NONE,IDLE,0,0,0,0,0,0,0,,0
301,3010,NONE,IDLE,0,0,0,0,0,0,0,,0
302,3020,NONE,IDLE,0,0,0,0,0,0,0,,0
303,3030,NONE,IDLE,0,0,0,0,0,0,0,,0
304,3040,NONE,IDLE,0,0,0,0,0,0,0,,0
305,3050,NONE,IDLE,0,0,0,0,0,0,0,,0
306,3060,NONE,IDLE,0,0,0,0,0,0,0,,0
307,3070,NONE,IDLE,0,0,0,0,0,0,0,,0
308,3080,NONE,IDLE,0,0,0,0,0,0,0,,0
309,3090,NONE,IDLE,0,0,0,0,0,0,0,,0
310,3100,NONE,IDLE,0,0,0,0,0,0,0,,0
311,3110,NONE,IDLE,0,0,0,0,0,0,0,,0
312,3120,NONE,IDLE,0,0,0,0,0,0,0,,0
313,3130,NONE,IDLE,0,0,0,0,0,0,0,,0
314,3140,NONE,IDLE,0,0,0,0,0,0,0,,0
315,3150,NONE,IDLE,0,0,0,0,0,0,0,,0
316,3160,NONE,IDLE,0,0,0,0,0,0,0,,0
317,3170,NONE,IDLE,0,0,0,0,0,0,0,,0
318,3180,NONE,IDLE,0,0,0,0,0,0,0,,0
319,3190,NONE,IDLE,0,0,0,0,0,0,0,,0
320,3200,NONE,IDLE,0,0,0,0,0,0,0,,0
321,3210,NONE,IDLE,0,0,0,0,0,0,0,,0
322,3220,NONE,IDLE,0,0,0,0,0,0,0,,0
323,3230,NONE,IDLE,0,0,0,0,0,0,0,,0
324,3240,NONE,IDLE,0,0,0,0,0,0,0,,0
325,3250,NONE,IDLE,0,0,0,0,0,0,0,,0
326,3260,NONE,IDLE,0,0,0,0,0,0,0,,0
327,3270,NONE,IDLE,0,0,0,0,0,0,0,,0
328,3280,NONE,IDLE,0,0,0,0,0,0,0,,0
329,3290,NONE,IDLE,0,0,0,0,0,0,0,,0
330,3300,NONE,IDLE,0,0,0,0,0,0,0,,0
331,3310,NONE,IDLE,0,0,0,0,0,0,0,,0
332,3320,NONE,IDLE,0,0,0,0,0,0,0,,0
333,3330,NONE,IDLE,0,0,0,0,0,0,0,,0
334,3340,NONE,IDLE,0,0,0,0,0,0,0,,0
335,3350,NONE,IDLE,0,0,0,0,0,0,0,,0
336,3360,NONE,IDLE,0,0,0,0,0,0,0,,0
337,3370,NONE,IDLE,0,0,0,0,0,0,0,,0
338,3380,NONE,IDLE,0,0,0,0,0,0,0,,0
339,3390,NONE,IDLE,0,0,0,0,0,0,0,,0
340,3400,NONE,IDLE,0,0,0,0,0,0,0,,0
341,3410,NONE,IDLE,0,0,0,0,0,0,0,,0
342,3420,NONE,IDLE,0,0,0,0,0,0,0,,0
343,3430,NONE,IDLE,0,0,0,0,0,0,0,,0
344,3440,NONE,IDLE,0,0,0,0,0,0,0,,0
345,3450,NONE,IDLE,0,0,0,0,0,0,0,,0
346,3460,NONE,IDLE,0,0,0,0,0,0,0,,0
347,3470,NONE,IDLE,0,0,0,0,0,0,0,,0
348,3480,NONE,IDLE,0,0,0,0,0,0,0,,0
