t,dir,outcome,err,stream,seq,id,gen_time,on_time
3460,DATA,STATE_APPLIED,OK,2,35,0,3431,0
3480,DATA,STATE_APPLIED,OK,4,35,0,3454,0
3480,ACK,ACK_STATE,OK,2,35,0,0,0
3490,DATA,STATE_APPLIED,OK,5,35,0,3462,0
3500,DATA,STATE_APPLIED,OK,6,35,0,3478,0
3510,DATA,STATE_APPLIED,OK,7,35,0,3486,0
3510,ACK,ACK_STATE,OK,5,35,0,0,0
3520,ACK,ACK_STATE,OK,6,35,0,0,0
3530,ACK,ACK_STATE,OK,7,35,0,0,0
3540,DATA,STATE_APPLIED,OK,1,36,0,3509,0
3560,ACK,ACK_STATE,OK,1,36,0,0,0
3570,DATA,STATE_APPLIED,OK,3,36,0,3538,0
3590,ACK,ACK_STATE,OK,3,36,0,0,0
3610,DATA,STATE_APPLIED,OK,7,36,0,3590,0
3630,DATA,STATE_APPLIED,OK,1,37,0,3602,0
3630,ACK,ACK_STATE,OK,7,36,0,0,0
3650,ACK,ACK_STATE,OK,1,37,0,0,0
3720,DATA,EVENT_DELIVERED,OK,0,0,2,3700,1
3730,DATA,STATE_APPLIED,OK,7,37,0,3696,0
3740,ACK,ACK_EVENT,OK,0,0,2,0,0
3750,ACK,ACK_STATE,OK,7,37,0,0,0
3810,DATA,STATE_APPLIED,OK,7,38,0,3789,0
3830,DATA,STATE_APPLIED,OK,0,39,0,3809,0
3830,ACK,ACK_STATE,OK,7,38,0,0,0
3850,ACK,ACK_STATE,OK,0,39,0,0,0
3860,DATA,STATE_APPLIED,OK,2,39,0,3827,0
3880,ACK,ACK_STATE,OK,2,39,0,0,0
3890,DATA,STATE_APPLIED,OK,5,39,0,3861,0
3900,DATA,STATE_APPLIED,OK,6,38,0,3771,0
3910,DATA,STATE_APPLIED,OK,7,39,0,3879,0
3910,ACK,ACK_STATE,OK,5,39,0,0,0
3920,DATA,STATE_APPLIED,OK,0,40,0,3900,0
3920,ACK,ACK_STATE,OK,6,38,0,0,0
3930,ACK,ACK_STATE,OK,7,39,0,0,0
3940,ACK,ACK_STATE,OK,0,40,0,0,0
3950,DATA,STATE_APPLIED,OK,2,40,0,3929,0
3970,ACK,ACK_STATE,OK,2,40,0,0,0
3990,DATA,STATE_APPLIED,OK,5,40,0,3965,0
4010,DATA,STATE_APPLIED,OK,7,40,0,3989,0
4010,ACK,ACK_STATE,OK,5,40,0,0,0
4020,DATA,STATE_APPLIED,OK,0,41,0,3998,0
4030,ACK,ACK_STATE,OK,7,40,0,0,0
4040,DATA,STATE_APPLIED,OK,1,41,0,4014,0
4040,ACK,ACK_STATE,OK,0,41,0,0,0
4050,DATA,STATE_APPLIED,OK,2,41,0,4017,0
